등급,RFP,지역매칭,진행중,공고명,수요기관,기초금액,참가지역,마감,키워드,공고번호,상세
S,자동추출,Y,Y,호국평화공원 야간경관 조성사업 미디어월 및 콘텐츠 제작·설치 용역,경상북도 칠곡군,818181818,제한없음,,"경관,야간경관,공원,콘텐츠",R26BK01742654,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01742654&bidPbancOrd=000
S,자동추출,Y,Y,특화거리 환경디자인 조성사업  「라인라이트 야간경관 조성」,거제고현자율상권조합,496363636,제한없음,,"경관,환경디자인,야간경관,거리,디자인",R26BK01698008,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01698008&bidPbancOrd=000
S,자동추출,Y,Y,제2차 경주시 스마트도시계획 수립 용역,경상북도 경주시,363636364,제한없음,,도시계획,R26BK01696753,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01696753&bidPbancOrd=000
S,자동추출,Y,Y,성남 원도심 야간경관 조성 용역,울산광역시 중구,154545455,제한없음,2026-09-28 16:00:00,"경관,야간경관",R26BK01711236,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01711236&bidPbancOrd=000
S,첨부없음,Y,Y,남부민2동 빈집정비형 노후주거지정비 도시재생활성화계획 수립 용역,부산광역시 서구,90909091,제한없음,,"도시재생,빈집,활성화",R26BK01689560,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01689560&bidPbancOrd=001
S,자동추출,Y,Y,남부민지구 빈집정비형 노후주거지정비 도시재생활성화계획 수립 용역,부산광역시 서구,90909091,제한없음,,"도시재생,빈집,활성화",R26BK01708522,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01708522&bidPbancOrd=000
S,자동추출,Y,Y,김천시 상점가 경관거리 조성사업 디자인개발 및 설계용역(협상에 의한 계약),경상북도 김천시,86363636,제한없음,,"경관,거리,디자인",R26BK01743008,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01743008&bidPbancOrd=000
S,자동추출,Y,Y,「송정동 수도산 일원 경관디자인 조성」 디자인 개발 및 실시설계 용역,경상북도 구미시,70909091,제한없음,,"경관,디자인",R26BK01710624,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01710624&bidPbancOrd=000
S,자동추출,,Y,IBK금융그룹 2027~2029 회계연도 외부감사인 선임,중소기업은행,11487272727,제한없음,,사인,R26BK01722269,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01722269&bidPbancOrd=000
S,첨부없음,,Y,외식 창업 공간 및 야외광장 디자인 개발 및 설치 용역(협상에 의한 계약),전남광주통합특별시 강진군,1909090909,제한없음,,"광장,디자인",R26BK01695200,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01695200&bidPbancOrd=001
S,자동추출,,Y,르완다 평화 및 역사인식 교육을 통한 공동체 문화회복 프로젝트봉사단 사업(26-29) PMC 용역,한국국제협력단,1393916135,제한없음,2026-11-04 16:00:00,사인,R26BK01743365,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01743365&bidPbancOrd=000
S,자동추출,,Y,황토갯벌랜드 탐방다리 야간경관 디자인 및 제작·설치,전남광주통합특별시 무안군,1363636364,제한없음,,"경관,야간경관,디자인",R26BK01717515,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01717515&bidPbancOrd=000
S,자동추출,,Y,여수꿈바다어린이도서관 디자인가구 및 사인물 제작·설치(협상에 의한 계약),전남광주통합특별시 여수시,481818182,제한없음,,"사인,디자인",R26BK01701591,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01701591&bidPbancOrd=000
S,자동추출,,Y,「온양온천지구 노후주거지정비 지원사업」 도시재생활성화계획(변경) 및 지구단위계획 수립 용역(협상에 의한 계약),충청남도 아산시,273345455,제한없음,,"도시재생,활성화",R26BK01741032,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01741032&bidPbancOrd=000
S,자동추출,,Y,해남군 경관계획 및 공공디자인 기본계획 재정비 용역,전남광주통합특별시 해남군,272727273,제한없음,,"공공디자인,경관,경관계획,디자인",R26BK01701016,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01701016&bidPbancOrd=000
S,자동추출,,Y,청풍서원 야간경관 및 한옥담장 조성사업(협상에 의한 계약),충청남도 금산군,272727273,제한없음,,"경관,야간경관",R26BK01725630,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01725630&bidPbancOrd=000
S,자동추출,,Y,2026 ACC 겨울 시즌 체험형 경관 콘텐츠 제작·운영 용역,국립아시아문화전당재단,190854586,제한없음,2026-10-08 10:00:00,"경관,콘텐츠,체험",R26BK01743904,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01743904&bidPbancOrd=000
S,자동추출,,Y,남양지구 도시재생 활성화계획 수립 용역,강원특별자치도 삼척시,181818182,제한없음,,"도시재생,활성화",R26BK01733422,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01733422&bidPbancOrd=000
S,자동추출,,Y,당진시 제2차 공공디자인 진흥계획 수립 용역 입찰 공고(협상에의한게약),충청남도 당진시,174181818,제한없음,,"공공디자인,디자인",R26BK01719740,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01719740&bidPbancOrd=000
S,자동추출,,Y,도시숲 달빛거리 범죄예방디자인사업 용역 입찰공고(협상에 의한 계약),충청남도 예산군,154545455,제한없음,,"거리,디자인",R26BK01706343,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01706343&bidPbancOrd=000
S,자동추출,,Y,(재공고)도시숲 달빛거리 범죄예방디자인사업 용역 입찰 공고(협상에 의한 계약),충청남도 예산군,154545455,제한없음,,"거리,디자인",R26BK01744442,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01744442&bidPbancOrd=000
S,자동추출,,Y,보령시 도시가로녹지 환경개선사업 기본계획 수립 용역 (협상),충청남도 보령시,136363636,제한없음,,"녹지,가로,환경개선,개선사업",R26BK01729086,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01729086&bidPbancOrd=000
S,자동추출,,Y,2026 경기미디저트페스타 전시 및 경연시설 사인 설치 용역,사단법인 도농문화콘텐츠연구회,109090909,제한없음,,"사인,전시",R26BK01743062,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01743062&bidPbancOrd=000
S,자동추출,,Y,국립농업박물관 곤충정원 조성 전시 연출 설계 및 설치 용역,국립농업박물관,70000000,제한없음,2026-09-28 10:00:00,"정원,연출,전시",R26BK01726847,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01726847&bidPbancOrd=000
S,자동추출,,Y,속초를 닮은 디자인 마을을 입다 프로젝트 기획 및 운영 용역,재단법인속초문화관광재단,58181818,제한없음,,"마을,디자인",R26BK01718679,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01718679&bidPbancOrd=000
S,자동추출,,Y,무안군 도시재생 성과지표 모니터링 수행 용역,전남광주통합특별시 무안군,56363636,제한없음,,도시재생,R26BK01737475,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01737475&bidPbancOrd=000
S,자동추출,,Y,삼성면 도시재생 인정사업계획 수립 용역(협상에 의한 계약),충청북도 음성군,54545455,제한없음,,도시재생,R26BK01731309,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01731309&bidPbancOrd=000
S,자동추출,,Y,2026년 인공식물섬 및 습지 조경관리용역,대전광역시 상수도사업본부,51654545,제한없음,2026-09-30 10:00:00,경관,R26BK01740790,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01740790&bidPbancOrd=000
W,자동추출,Y,Y,(긴급)「K-거상」기획전시관 및 상설주제관 콘텐츠 개선·개발 용역,재단법인 경상남도 관광재단,180000000,제한없음,,"콘텐츠,전시",R26BK01707504,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01707504&bidPbancOrd=000
W,자동추출,Y,Y,(긴급) (재공고)「K-거상」기획전시관 및 상설주제관 콘텐츠 개선·개발 용역,재단법인 경상남도 관광재단,180000000,제한없음,,"콘텐츠,전시",R26BK01735803,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01735803&bidPbancOrd=000
W,자동추출,Y,Y,울산박물관 상설전시실 무장애 관광 콘텐츠 개발 용역,재단법인울산문화관광재단,163636364,제한없음,2026-09-29 10:00:00,"콘텐츠,전시",R26BK01716849,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01716849&bidPbancOrd=000
W,자동추출,Y,Y,부산역 쇼핑관광 거점 공간기획·콘텐츠 전시연출 및 운영 활성화,부산관광공사,163636364,제한없음,2026-10-06 15:00:00,"콘텐츠,전시,활성화",R26BK01741086,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01741086&bidPbancOrd=000
W,자동추출,,Y,향토음식진흥센터 공간 조성 및 전시 콘텐츠 제작·설치 용역,한식진흥원,1681818182,제한없음,2026-10-13 10:00:00,"콘텐츠,전시",R26BK01711115,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01711115&bidPbancOrd=000
W,자동추출,,Y,완도 고금도해전 전승수군 체험관 전시연출 설계 및  제작·설치 용역(협상에 의한 계약),전남광주통합특별시 완도군,1363636364,제한없음,,"전시,체험",R26BK01706539,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01706539&bidPbancOrd=000
W,자동추출,,Y,제주특별자치도 유아기후환경교육관 전시·체험시설 제작 설치_(협상에 의한 계약),제주특별자치도,363636364,제한없음,,"전시,체험",R26BK01705983,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01705983&bidPbancOrd=000
W,자동추출,,Y,제주특별자치도 유아기후환경교육관 전시·체험시설 제작 설치,제주특별자치도,363636364,제한없음,,"전시,체험",R26BK01708142,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01708142&bidPbancOrd=000
W,자동추출,,Y,경기북부어린이박물관 전시고도화사업] 상설전시(공룡숲) 개편 설계 및 체험전시물 제작·설치 용역,(재)경기문화재단 경기북부어린이박물관,200000000,제한없음,,"전시,체험",R26BK01723509,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01723509&bidPbancOrd=000
W,자동추출,,Y,2026 강릉 ITS 세계총회 전시부스 설치·운영 및 홍보콘텐츠 제작 용역,주식회사 오스코,118181818,제한없음,,"콘텐츠,전시",R26BK01738325,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01738325&bidPbancOrd=000
W,자동추출,,Y,2026 강릉 ITS 세계총회 전시부스 설치운영 및 홍보콘텐츠 제작 용역,주식회사 오스코,118181818,제한없음,2026-10-02 16:00:00,"콘텐츠,전시",R26BK01739266,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01739266&bidPbancOrd=000
W,자동추출,,Y,캐릭터 미디어 콘텐츠 제작 용역,재단법인홍주문화관광재단,102727273,제한없음,,"캐릭터,콘텐츠",R26BK01727383,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R26BK01727383&bidPbancOrd=000
